lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
28.379                                            ,76.989                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.22                                            ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.0084                                            ,IN                                                ,1552870740                                        ,1552914096                                        ,1267034                                           ,Khāndsa                                           
28.369                                            ,76.984                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.2                                             ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.0051                                            ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
28.360                                            ,76.977                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.21                                            ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.006                                             ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
28.353                                            ,76.971                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.36                                            ,1013                                              ,46                                                ,296.15                                            ,298.71                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552924807                                        ,1                                                 ,9165                                              ,0.0048                                            ,IN                                                ,1552870745                                        ,1552914101                                        ,1267621                                           ,Kāsan                                             
28.345                                            ,76.964                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.79                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,3.6                                               ,349.001                                           ,40                                                ,1552924807                                        ,1                                                 ,9165                                              ,0.007                                             ,IN                                                ,1552870747                                        ,1552914103                                        ,1267621                                           ,Kāsan                                             
28.328                                            ,76.951                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.83                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,3.6                                               ,349.001                                           ,40                                                ,1552924807                                        ,1                                                 ,9165                                              ,0.0069                                            ,IN                                                ,1552870750                                        ,1552914106                                        ,1267621                                           ,Kāsan                                             
28.316                                            ,76.940                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.59                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,3.6                                               ,349.001                                           ,40                                                ,1552926607                                        ,1                                                 ,9165                                              ,0.005                                             ,IN                                                ,1552870752                                        ,1552914108                                        ,1267621                                           ,Kāsan                                             
28.299                                            ,76.927                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.8                                             ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,2.43                                              ,350.002                                           ,40                                                ,1552926607                                        ,1                                                 ,9165                                              ,0.006                                             ,IN                                                ,1552870754                                        ,1552914111                                        ,1267621                                           ,Kāsan                                             
28.287                                            ,76.917                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.83                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,2.43                                              ,350.002                                           ,40                                                ,1552926607                                        ,1                                                 ,9165                                              ,0.0055                                            ,IN                                                ,1552870757                                        ,1552914113                                        ,1254948                                           ,Taoru                                             
28.274                                            ,76.906                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.88                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,2.43                                              ,350.002                                           ,40                                                ,1552926607                                        ,1                                                 ,9165                                              ,0.0047                                            ,IN                                                ,1552870759                                        ,1552914116                                        ,1254948                                           ,Taoru                                             
28.261                                            ,76.896                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.93                                            ,1013                                              ,52                                                ,294.15                                            ,298.71                                            ,3200                                              ,2.43                                              ,350.002                                           ,40                                                ,1552926607                                        ,1                                                 ,9165                                              ,0.0062                                            ,IN                                                ,1552870761                                        ,1552914118                                        ,7279747                                           ,Bhiwadi                                           
28.248                                            ,76.885                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.68                                            ,1014                                              ,52                                                ,294.15                                            ,298.71                                            ,3000                                              ,2.43                                              ,350.002                                           ,40                                                ,1552929307                                        ,1                                                 ,9165                                              ,0.0058                                            ,IN                                                ,1552870764                                        ,1552914120                                        ,7279747                                           ,Bhiwadi                                           
28.235                                            ,76.875                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.71                                            ,1014                                              ,52                                                ,294.15                                            ,298.71                                            ,3000                                              ,2.43                                              ,350.002                                           ,40                                                ,1552929307                                        ,1                                                 ,9165                                              ,0.0044                                            ,IN                                                ,1552870766                                        ,1552914123                                        ,7279747                                           ,Bhiwadi                                           
28.222                                            ,76.864                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.62                                            ,1013                                              ,60                                                ,293.15                                            ,298.71                                            ,2800                                              ,2.43                                              ,350.002                                           ,20                                                ,1552930200                                        ,1                                                 ,9165                                              ,0.0073                                            ,IN                                                ,1552870771                                        ,1552914128                                        ,7279747                                           ,Bhiwadi                                           
28.209                                            ,76.854                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.25                                            ,1013                                              ,60                                                ,293.15                                            ,298.71                                            ,2800                                              ,2.43                                              ,350.002                                           ,20                                                ,1552931108                                        ,1                                                 ,9165                                              ,0.0062                                            ,IN                                                ,1552870773                                        ,1552914130                                        ,7279747                                           ,Bhiwadi                                           
28.196                                            ,76.843                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.28                                            ,1013                                              ,60                                                ,293.15                                            ,298.71                                            ,2800                                              ,2.43                                              ,350.002                                           ,20                                                ,1552931108                                        ,1                                                 ,9165                                              ,0.0053                                            ,IN                                                ,1552870775                                        ,1552914133                                        ,7279747                                           ,Bhiwadi                                           
28.183                                            ,76.832                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.32                                            ,1013                                              ,60                                                ,293.15                                            ,298.71                                            ,2800                                              ,2.43                                              ,350.002                                           ,20                                                ,1552931108                                        ,1                                                 ,9165                                              ,0.0126                                            ,IN                                                ,1552870778                                        ,1552914135                                        ,7279747                                           ,Bhiwadi                                           
28.170                                            ,76.822                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,296.37                                            ,1013                                              ,60                                                ,293.15                                            ,298.71                                            ,2800                                              ,2.43                                              ,350.002                                           ,20                                                ,1552931108                                        ,1                                                 ,9165                                              ,0.0059                                            ,IN                                                ,1552870780                                        ,1552914138                                        ,7279747                                           ,Bhiwadi                                           
28.156                                            ,76.811                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,295.68                                            ,1013                                              ,63                                                ,292.15                                            ,298.71                                            ,2800                                              ,1.5                                               ,280                                               ,20                                                ,1552933807                                        ,1                                                 ,9165                                              ,0.0066                                            ,IN                                                ,1552957113                                        ,1553000572                                        ,1272822                                           ,Dharuhera                                         
28.143                                            ,76.800                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,295.62                                            ,1013                                              ,63                                                ,292.15                                            ,298.71                                            ,2800                                              ,1.5                                               ,280                                               ,20                                                ,1552933807                                        ,1                                                 ,9165                                              ,0.007                                             ,IN                                                ,1552957116                                        ,1553000575                                        ,1272822                                           ,Dharuhera                                         
