Timestamp,Date,Callsign,long,Altitude,Speed,Direction,Time,lat
1528910437,2018-06-13,JAI384,28.550022,2650,169,280,T17:20:37Z,77.051804
1528910459,2018-06-13,JAI384,28.541595,3175,190,218,T17:20:59Z,77.034462
1528910466,2018-06-13,JAI384,28.53587,3225,207,204,T17:21:06Z,77.031288
1528910474,2018-06-13,JAI384,28.527145,3300,227,190,T17:21:14Z,77.028999
1528910481,2018-06-13,JAI384,28.520834,3425,234,189,T17:21:21Z,77.02784
1528910487,2018-06-13,JAI384,28.514786,3550,238,191,T17:21:27Z,77.02652
1528910494,2018-06-13,JAI384,28.507427,3650,246,191,T17:21:34Z,77.024773
1528910500,2018-06-13,JAI384,28.500275,3750,252,192,T17:21:40Z,77.022926
1528910511,2018-06-13,JAI384,28.486059,4000,264,193,T17:21:51Z,77.019112
1528910517,2018-06-13,JAI384,28.479172,4125,268,193,T17:21:57Z,77.017227
1528910523,2018-06-13,JAI384,28.472513,4225,272,193,T17:22:03Z,77.015343
1528910531,2018-06-13,JAI384,28.463745,4475,276,193,T17:22:11Z,77.013054
1528910541,2018-06-13,JAI384,28.449234,4900,277,192,T17:22:21Z,77.0093
1528910548,2018-06-13,JAI384,28.441177,5125,279,193,T17:22:28Z,77.00724
1528910558,2018-06-13,JAI384,28.42598,5600,280,193,T17:22:38Z,77.00312
1528910570,2018-06-13,JAI384,28.410599,5950,282,193,T17:22:50Z,76.99897
1528910582,2018-06-13,JAI384,28.395126,6125,284,193,T17:23:02Z,76.994774
1528910596,2018-06-13,JAI384,28.379974,6325,282,200,T17:23:16Z,76.989601
1528910606,2018-06-13,JAI384,28.369724,6475,278,207,T17:23:26Z,76.984001
1528910612,2018-06-13,JAI384,28.360886,6600,277,213,T17:23:32Z,76.977768
1528910619,2018-06-13,JAI384,28.353664,6725,276,216,T17:23:39Z,76.971725
1528910627,2018-06-13,JAI384,28.345001,6875,277,216,T17:23:47Z,76.964455
1528910645,2018-06-13,JAI384,28.328842,7075,278,215,T17:24:05Z,76.951202
1528910655,2018-06-13,JAI384,28.316025,7275,280,215,T17:24:15Z,76.940742
1528910670,2018-06-13,JAI384,28.299911,7500,282,215,T17:24:30Z,76.927643
1528910684,2018-06-13,JAI384,28.287048,7700,282,215,T17:24:44Z,76.917168
1528910696,2018-06-13,JAI384,28.274094,7900,284,215,T17:24:56Z,76.906677
1528910706,2018-06-13,JAI384,28.261166,8000,285,215,T17:25:06Z,76.896111
1528910718,2018-06-13,JAI384,28.248503,8000,284,215,T17:25:18Z,76.885826
1528910731,2018-06-13,JAI384,28.235235,8100,284,215,T17:25:31Z,76.875053
1528910743,2018-06-13,JAI384,28.222733,8275,283,215,T17:25:43Z,76.864838
1528910755,2018-06-13,JAI384,28.209503,8450,284,215,T17:25:55Z,76.854118
1528910766,2018-06-13,JAI384,28.196737,8600,285,215,T17:26:06Z,76.843712
1528910780,2018-06-13,JAI384,28.183594,8850,289,215,T17:26:20Z,76.832993
1528910790,2018-06-13,JAI384,28.170685,9225,292,215,T17:26:30Z,76.822479
1528910803,2018-06-13,JAI384,28.156952,9600,295,215,T17:26:43Z,76.811279
1528910815,2018-06-13,JAI384,28.143248,9950,299,216,T17:26:55Z,76.800087
1528910829,2018-06-13,JAI384,28.129852,10325,302,215,T17:27:09Z,76.789207
1528910839,2018-06-13,JAI384,28.116074,10700,305,215,T17:27:19Z,76.778008
1528910851,2018-06-13,JAI384,28.102049,11075,308,215,T17:27:31Z,76.766647
1528910862,2018-06-13,JAI384,28.088058,11375,314,215,T17:27:42Z,76.755348
1528910876,2018-06-13,JAI384,28.073048,11600,324,215,T17:27:56Z,76.743111
1528910890,2018-06-13,JAI384,28.057663,11800,336,215,T17:28:10Z,76.730629
1528910900,2018-06-13,JAI384,28.042324,11975,345,215,T17:28:20Z,76.718178
1528910912,2018-06-13,JAI384,28.028172,12225,353,215,T17:28:32Z,76.706703
1528910946,2018-06-13,JAI384,27.981995,13400,361,215,T17:29:06Z,76.669304
1528910978,2018-06-13,JAI384,27.936127,14625,367,215,T17:29:38Z,76.632278
1528911011,2018-06-13,JAI384,27.890076,16025,371,215,T17:30:11Z,76.59507
1528911045,2018-06-13,JAI384,27.842651,17275,379,215,T17:30:45Z,76.556618
1528911077,2018-06-13,JAI384,27.794083,18100,397,215,T17:31:17Z,76.517441
1528911141,2018-06-13,JAI384,27.695114,20250,406,213,T17:32:21Z,76.443497
1528911205,2018-06-13,JAI384,27.594444,21825,424,214,T17:33:25Z,76.36792
1528911267,2018-06-13,JAI384,27.486908,23100,445,211,T17:34:27Z,76.289009
1528911327,2018-06-13,JAI384,27.379698,24375,454,211,T17:35:27Z,76.215858
1528911391,2018-06-13,JAI384,27.265646,25800,458,211,T17:36:31Z,76.137787
1528911455,2018-06-13,JAI384,27.149405,26975,468,211,T17:37:35Z,76.058403
1528911517,2018-06-13,JAI384,27.031082,27975,478,211,T17:38:37Z,75.977821
1528911598,2018-06-13,JAI384,26.877493,29325,484,211,T17:39:58Z,75.873695
1528911660,2018-06-13,JAI384,26.747845,30250,495,200,T17:41:00Z,75.805664
1528911721,2018-06-13,JAI384,26.616119,31025,502,200,T17:42:01Z,75.749855
1528911785,2018-06-13,JAI384,26.478058,32275,498,200,T17:43:05Z,75.691551
1528911846,2018-06-13,JAI384,26.348602,33500,490,200,T17:44:06Z,75.636673
1528911908,2018-06-13,JAI384,26.220245,34000,489,200,T17:45:08Z,75.582413
1528911969,2018-06-13,JAI384,26.091522,34000,490,200,T17:46:09Z,75.528412
1528912031,2018-06-13,JAI384,25.95726,34000,490,200,T17:47:11Z,75.472237
1528912091,2018-06-13,JAI384,25.827972,34000,492,200,T17:48:11Z,75.418503
1528912151,2018-06-13,JAI384,25.697393,34000,492,200,T17:49:11Z,75.365021
1528912217,2018-06-13,JAI384,25.555573,34000,492,200,T17:50:17Z,75.306854
1528912282,2018-06-13,JAI384,25.419296,34000,490,200,T17:51:22Z,75.25106
1528912345,2018-06-13,JAI384,25.281876,34000,490,200,T17:52:25Z,75.19516
1528912409,2018-06-13,JAI384,25.146194,34000,491,200,T17:53:29Z,75.139824
1528912470,2018-06-13,JAI384,25.015869,34625,490,200,T17:54:30Z,75.086891
1528912531,2018-06-13,JAI384,24.888502,35625,486,200,T17:55:31Z,75.035172
1528912593,2018-06-13,JAI384,24.756638,36250,485,200,T17:56:33Z,74.98159
1528912655,2018-06-13,JAI384,24.625854,37000,485,200,T17:57:35Z,74.92878
1528912719,2018-06-13,JAI384,24.492203,37700,485,200,T17:58:39Z,74.874519
1528912782,2018-06-13,JAI384,24.358154,38000,485,200,T17:59:42Z,74.820099
1528912844,2018-06-13,JAI384,24.229248,38000,484,200,T18:00:44Z,74.768372
1528912903,2018-06-13,JAI384,24.101955,38000,484,200,T18:01:43Z,74.717499
1528912967,2018-06-13,JAI384,23.967453,38000,483,200,T18:02:47Z,74.663902
1528913031,2018-06-13,JAI384,23.833099,38000,484,200,T18:03:51Z,74.610085
1528913057,2018-06-13,JAI384,23.779449,38000,483,200,T18:04:17Z,74.588524
1528913145,2018-06-13,JAI384,23.594629,38000,481,200,T18:05:45Z,74.514717
1528913205,2018-06-13,JAI384,23.468491,38000,480,200,T18:06:45Z,74.464386
